KEYS,en,pt,es,fr,it,de,da,sv,no,is,hu,pl,tr,ru,uk,cs,sk
TEXT_TITLE,Target Tower,Target Tower,Torre Objetivo,Tour Cible,Torre Bersaglio,Zielturm,Måltårn,Måltorn,Måltårn,Markturn,Cél Torony,Wieża Celowania,Hedef Kulesi,Башня Цели,Вежа Мети,Věž Cíle,Veža Cieľa
TEXT_OPEN,Open,Abrir,Abrir,Ouvrir,Apri,Öffnen,Åbn,Öppna,Åpne,Opna,Megnyitás,Otwórz,Aç,Открыть,Відкрити,Otevřít,Otvoriť
TEXT_COPY,Copy,Copiar,Copiar,Copier,Copia,Kopieren,Kopiér,Kopiera,Kopier,Afrita,Másolás,Kopiuj,Kopyala,Копировать,Копіювати,Kopírovat,Kopírovať
TEXT_ERASE,Erase,Apagar,Borrar,Effacer,Cancella,Löschen,Slet,Radera,Slett,Eyða,Törlés,Usuń,Sil,Удалить,Видалити,Smazat,Odstrániť
TEXT_BACK,Back,Voltar,Atrás,Retour,Indietro,Zurück,Tilbage,Tillbaka,Tilbake,Til baka,Vissza,Wstecz,Geri,Назад,Назад,Zpět,Naspäť
TEXT_PLAY,Play,Jogar,Jugar,Jouer,Gioca,Spielen,Spil,Spela,Spill,Spila,Játék,Gracz,Oyna,Играть,Грати,Hrát,Hrať
TEXT_SETTINGS,Settings,Configurações,Ajustes,Paramètres,Impostazioni,Einstellungen,Indstillinger,Inställningar,Innstillinger,Stillingar,Beállítások,Ustawienia,Ayarlar,Настройки,Налаштування,Nastavení,Nastavenia
TEXT_QUIT,Quit,Sair,Salir,Quitter,Esci,Beenden,Afslut,Avsluta,Avslutt,Hætta,Kilépés,Wyjdź,Ayrıl,Выйти,Вийти,Ukončit,Ukončiť
TEXT_YES,Yes,Sim,Sí,Oui,Sì,Ja,Ja,Ja,Ja,Jú,Igen,Tak,Evet,Да,Так,Ano,Áno
TEXT_NO,No,Não,No,Non,No,Nein,Nee,Nej,Nei,Nei,Nem,Nie,Hayır,Нет,Ні,Ne,Nie
TEXT_CONTROLS,Controls,Controles,Controles,Commandes,Controlli,Steuerung,Kontroller,Kontroller,Kontroller,Stjórnun,Irányítás,Sterowanie,Kontroller,Управление,Керування,Ovládání,Ovládanie
TEXT_AUDIO,Audio,Áudio,Audio,Audio,Audio,Audio,Lyd,Ljud,Lyd,Hljóð,Hang,Audio,Ses,Аудио,Аудіо,Audio,Audio
TEXT_VIDEO,Video,Vídeo,Video,Vidéo,Video,Video,Video,Video,Video,Myndband,Videó,Wideo,Video,Видео,Відео,Video,Video
TEXT_WINDOW_MODE,Window,Modo de exibição,Ventana,Fenêtre,Finestra,Fenster,Vindue,Fönster,Vindu,Gluggi,Ablak,Okno,Pencere,Окно,Вікно,Okno,Okno
TEXT_MODE_FULLSCREEN,Fullscreen,Tela cheia,Pantalla completa,Plein écran,Schermo intero,Vollbild,Fuld skærm,Fullskärm,Fullskjerm,Heilskjár,Teljes képernyő,Pełny ekran,Tam ekran,Полный экран,Повний екран,Na celou obrazovku,Na celú obrazovku
TEXT_MODE_WINDOWED,Window,Janela,Ventana,Fenêtré,Finestra,Fenster,Vindue,Fönster,Vindu,Gluggi,Ablakos,Okno,Pencere,Оконный,Віконний,Režim okna,Režim okna
TEXT_MODE_BORDERLESS,Borderless window,Janela sem borda,Ventana sin bordes,Fenêtre sans bordure,Finestra senza bordi,Randlos,Frit vindue,Kantlös,Begrensningsløs,Rúðulaus,Ablak keret nélkül,Okno bez ramki,Çerçevesiz,Безрамочное окно,Безрамкове вікно,Bezrámové okno,Bezrámové okno
TEXT_RESOLUTION,Resolution,Resolução,Resolución,Résolution,Risoluzione,Auflösung,Opløsning,Upplösning,Oppløsning,Upplausn,Felbontás,Resolucja,Çözünürlük,Разрешение,Роздільна здатність,Rozlišení,Rozlíšenie
TEXT_BRIGHTNESS,Brightness,Brilho,Brillo,Luminosité,Luminosità,Helligkeit,Lysstyrke,Ljusstyrka,Lysstyrke,Birtustig,Fényerő,Jasność,Parlaklık,Яркость,Яскравість,Jas,Jas
TEXT_AUDIO_MASTER,Master,Geral,General,Principal,Generale,Master,Hoved,Ljudnivå,Hoved,Höfuð,Hangerő,Mistrz,Nazaran,Громкость,Головна гучність,Hlavní hlasitost,Hlavná hlasitosť
TEXT_AUDIO_MUSIC,Music,Música,Música,Musique,Musica,Musik,Musik,Musik,Musikk,Tónlist,Zene,Muzyka,Müzik,Музыка,Музика,Hudba,Hudba
TEXT_AUDIO_SFX,SFX,Efeitos sonoros,Efectos,Hauts-parleurs,Effetti sonori,Effekte,Lydeffekter,Ljudeffekter,Lydeffekter,Hljóðbrellur,Hangeffekt,Dźwięki,SES FX,Звуки,Звукові ефекти,Efekty zvuku,Zvukové efekty
TEXT_CONTROLS_RESET,Reset to default,Resetar para padrão,Restablecer,Réinitialiser,Reimposta,Zurücksetzen,Nulstil,Återställ,Nullstill,Endurstilla,Visszaállítás,Przywróć,Varsayılana dön,Сбросить,Скинути,Obnovit,Pôvodné nastavenia
TEXT_CONTROLS_JUMP,Jump,Pular,Saltar,Sauter,Salto,Springen,Hop,Hoppa,Hoppe,Hoppa,Ugrás,Skok,Zıpla,Прыжок,Стрибок,Skok,Skok
TEXT_CONTROLS_SHOOT,Shoot,Atirar,Disparar,Tirer,Spara,Schießen,Skyd,Skiuta,Skyte,Skjóta,Lőni,Strzelać,Ateş et,Стрелять,Стріляти,Střílet,Strieľať
TEXT_CONTROLS_UP,Up,Cima,Arriba,Haut,Su,Oben,Op,Opp,Uppl,Upp,Fel,Góra,Yukarı,Вверх,Вгору,Nahoru,Hore
TEXT_CONTROLS_DOWN,Down,Baixo,Abajo,Bas,Giu,Unten,Ned,Ner,Ned,Niður,Le,Nie,W dół,Aşağı,Вниз,Dolů,Dole
